Time(ms),Angle(rad),Volume,Pressure(kPa),Temperature 1(C),Temperature 2(C)
408.0,1.3069516312785663,36.27897705350381,77.119140625,196.25,62.25
413.0,0.9019807032767571,38.739161465077956,72.3095703125,196.25,62.25
420.0,0.32980586939541284,41.199795657471256,67.8173828125,196.25,62.25
425.0,6.2110882101489615,41.60536869595997,65.77880859375,196.25,62.25
432.0,5.649651241782816,40.11665604653938,65.33935546875,196.25,62.25
437.0,5.247748275356779,37.957627227349334,66.85302734375,196.25,62.25
444.0,4.67710742226332,34.461458899491085,72.59033203125,196.25,62.25
450.0,4.26906853268574,32.343015694377094,78.44970703125,196.25,62.25
457.0,3.6968936988043954,30.44034426368483,88.30078125,196.25,62.25
462.0,3.2888548092268146,29.886548794540587,93.671875,196.25,62.25
469.0,2.7166799753454707,30.19227422002986,94.97802734375,196.0,62.25
474.0,2.3101750665557756,31.1921828520381,90.82763671875,196.0,62.25
481.0,1.736466251886546,33.72644409488574,82.67333984375,196.0,62.25
486.0,1.325359400733194,36.16418113269201,77.00927734375,196.0,62.25
494.0,0.7562525284276211,39.526344098178214,71.2109375,196.0,62.25
498.0,0.4310486013958652,40.90577802814819,68.4033203125,196.0,62.25
503.0,0.02761165418194154,41.623002988696385,66.1572265625,196.0,62.25
510.0,5.750893973783269,40.542669785727156,65.205078125,196.0,62.25
514.0,5.425690046751513,38.987968375254894,66.1328125,196.0,62.25
519.0,5.020719118749704,36.556780706556424,68.7451171875,196.0,62.25
526.0,4.451612246444131,33.22233386016681,75.8984375,196.0,62.25
530.0,4.12794230020026,31.75040341337618,81.23291015625,196.0,62.25
536.0,3.7137674874711375,30.477414656914302,88.23974609375,196.0,62.25
543.0,3.1492625575292212,29.84517623934389,94.66064453125,196.0,62.25
547.0,2.827126592073237,30.034732245731032,95.4296875,196.0,62.25
551.0,2.4988547034657094,30.64488023494181,93.00048828125,196.0,62.25
559.0,1.846912868614312,33.14383063605958,84.55322265625,196.0,62.25
563.0,1.5155730184310134,34.99635743249669,79.5849609375,196.0,62.25
571.0,0.863631183579616,38.9540581538721,72.07763671875,196.0,62.25
580.0,0.21782527187976106,41.43849584622401,67.14599609375,196.0,62.25
588.0,5.853670686571607,40.91076253535808,65.1806640625,196.0,62.25
596.0,5.214000698023295,37.75344604721666,67.20703125,196.0,62.25
604.0,4.562058863171897,33.81042333225769,73.81103515625,196.0,62.25
612.0,3.907049066744728,30.98430571527077,84.96826171875,196.0,62.25
621.0,3.2612431550448733,29.872443344234814,93.8916015625,196.0,62.25
629.0,2.6139032625571326,30.382149716048826,93.9892578125,196.0,62.25
637.0,1.9619614277057351,32.58169019747676,85.9814453125,196.0,62.25
645.0,1.3054176504906807,36.2885493194069,76.7529296875,196.0,62.25
653.0,0.6550097964271688,40.018868031193385,70.17333984375,196.0,62.25
662.0,0.009203884727313847,41.62569918015959,66.09619140625,196.0,62.25
670.0,5.652719203358588,40.130422613003375,65.36376953125,196.0,62.25
678.0,5.006913291658733,36.47053658740658,68.61083984375,196.0,62.25
686.0,4.359573399170992,32.76372358503889,77.0703125,196.0,62.25
694.0,3.706097583531709,30.46042253413873,88.48388671875,196.25,62.25
701.0,3.1400586728019078,29.84506828717593,94.78271484375,196.25,62.25
707.0,2.730485802436441,30.16995991926597,95.17333984375,196.25,62.25
715.0,2.083145909948701,32.043296725949084,87.65380859375,196.25,62.25
722.0,1.5079031144915853,35.04245555522417,79.42626953125,196.25,62.25
727.0,1.1044661672776617,37.53789876331218,74.6044921875,196.25,62.25
735.0,0.45559229400203544,40.823879311535606,68.61083984375,196.25,62.25
742.0,6.174272671239706,41.57891639972972,65.77880859375,196.25,62.25
748.0,5.772369704813668,40.625174471823634,65.26611328125,196.25,62.25
755.0,5.212466717235409,37.74411600257182,67.20703125,196.25,62.25
760.0,4.81056375080937,35.255838854787456,70.6494140625,196.25,62.25
767.0,4.236854936140141,32.20082650005887,78.81591796875,196.25,62.25
